timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839954.703, lauv-xplore-1, Power Supply, 14.000
1516839954.761, lauv-xplore-1, Depth Sensor, 10.315
1516839954.811, lauv-xplore-1, Water Quality Sensor, 14.047
1516839954.840, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839954.840, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839954.840, lauv-xplore-1, Motor, 10.000
1516839954.861, lauv-xplore-1, Depth Sensor, 10.315
1516839954.902, lauv-xplore-1, Power Supply, 14.000
1516839954.961, lauv-xplore-1, Depth Sensor, 10.315
1516839954.973, lauv-xplore-1, Mainboard (Core), 26.000
1516839954.974, lauv-xplore-1, Mainboard (SuperIO), 23.000
1516839954.974, lauv-xplore-1, Mainboard (Board), 21.562
1516839955.062, lauv-xplore-1, Depth Sensor, 10.315
1516839955.103, lauv-xplore-1, Power Supply, 14.000
1516839955.162, lauv-xplore-1, Depth Sensor, 10.315
1516839955.262, lauv-xplore-1, Depth Sensor, 10.315
1516839955.304, lauv-xplore-1, Power Supply, 13.500
1516839955.362, lauv-xplore-1, Depth Sensor, 10.315
1516839955.462, lauv-xplore-1, Depth Sensor, 10.315
1516839955.561, lauv-xplore-1, Depth Sensor, 10.315
1516839955.635, lauv-xplore-1, Power Supply, 14.000
1516839955.643, lauv-xplore-1, Power Supply, 14.000
1516839955.661, lauv-xplore-1, Depth Sensor, 10.299
1516839955.761, lauv-xplore-1, Depth Sensor, 10.299
1516839955.804, lauv-xplore-1, Power Supply, 14.000
1516839955.811, lauv-xplore-1, Water Quality Sensor, 14.043
1516839955.861, lauv-xplore-1, Depth Sensor, 10.299
1516839955.961, lauv-xplore-1, Depth Sensor, 10.299
1516839955.974, lauv-xplore-1, Mainboard (Core), 25.687
1516839955.974, lauv-xplore-1, Mainboard (SuperIO), 23.125
1516839955.974, lauv-xplore-1, Mainboard (Board), 21.625
1516839956.004, lauv-xplore-1, Power Supply, 14.000
1516839956.062, lauv-xplore-1, Depth Sensor, 10.299
1516839956.162, lauv-xplore-1, Depth Sensor, 10.299
1516839956.205, lauv-xplore-1, Power Supply, 14.000
1516839956.262, lauv-xplore-1, Depth Sensor, 10.299
1516839956.361, lauv-xplore-1, Depth Sensor, 10.299
